time,x,y,z
60.900000000000595,252.49643389065446,88.61326068365804,20.0
61.0000000000006,251.89294447960853,86.70648315841933,20.0
61.1000000000006,251.2894550685626,84.79970563318062,20.0
61.2000000000006,250.68596565751668,82.89292810794191,20.0
61.3000000000006,250.08247624647078,80.9861505827032,20.0
61.4000000000006,249.47898683542485,79.0793730574645,20.0
61.500000000000604,248.87549742437895,77.17259553222578,20.0
61.600000000000605,248.27200801333302,75.26581800698708,20.0
61.70000000000061,247.66851860228712,73.35904048174837,20.0
61.80000000000061,247.0650291912412,71.45226295650966,20.0
61.90000000000061,246.4615397801953,69.54548543127095,20.0
62.00000000000061,245.85805036914937,67.63870790603224,20.0
62.10000000000061,245.25456095810347,65.73193038079353,20.0
62.200000000000614,245.05218027572556,65.09249093142216,20.0
62.300000000000615,246.5976149930211,63.82299042548383,20.0
62.40000000000062,248.14304971031663,62.5534899195455,20.0
62.50000000000062,249.68848442761217,61.283989413607166,20.0
62.60000000000062,251.2339191449077,60.014488907668834,20.0
62.70000000000062,252.77935386220324,58.744988401730495,20.0
62.80000000000062,254.32478857949877,57.475487895792156,20.0
62.900000000000624,255.8702232967943,56.20598738985382,20.0
63.000000000000625,257.41565801408984,54.93648688391548,20.0
63.10000000000063,258.96109273138535,53.66698637797714,20.0
63.20000000000063,260.50652744868086,52.39748587203881,20.0
63.30000000000063,262.05196216597636,51.127985366100475,20.0
63.40000000000063,263.59739688327187,49.85848486016214,20.0
63.50000000000063,265.1428316005674,48.58898435422381,20.0
63.600000000000634,266.6882663178629,47.31948384828548,20.0
63.700000000000635,268.2337010351584,46.04998334234715,20.0
63.80000000000064,269.7791357524539,44.780482836408815,20.0
63.90000000000064,271.3245704697494,43.51098233047048,20.0
64.00000000000064,272.8700051870449,42.24148182453215,20.0
64.10000000000063,274.4154399043404,40.97198131859382,20.0
64.20000000000063,275.9608746216359,39.70248081265549,20.0
64.30000000000062,277.50630933893143,38.432980306717155,20.0
64.40000000000062,279.05174405622694,37.16347980077882,20.0
64.50000000000061,280.59717877352244,35.8939792948405,20.0
64.6000000000006,282.142613490818,34.624478788902174,20.0
64.7000000000006,283.6880482081135,33.35497828296385,20.0
64.8000000000006,285.2334829254091,32.085477777025524,20.0
64.90000000000059,286.7789176427046,30.815977271087196,20.0
65.00000000000058,288.32435236000015,29.546476765148867,20.0
65.10000000000058,289.86978707729565,28.27697625921054,20.0
65.20000000000057,291.4152217945912,27.00747575327221,20.0
65.30000000000057,292.9606565118867,25.737975247333882,20.0
65.40000000000056,294.5060912291823,24.468474741395553,20.0
65.50000000000055,296.0515259464778,23.198974235457225,20.0
65.60000000000055,297.59696066377336,21.9294737295189,20.0
65.70000000000054,299.14239538106887,20.65997322358057,20.0
65.80000000000054,300.68783009836443,19.390472717642247,20.0
65.90000000000053,302.23326481565994,18.120972211703915,20.0
66.00000000000053,303.42216421841306,17.144348368319516,20.0
66.10000000000052,305.39464241287243,16.81369783923747,20.0
66.20000000000051,307.3671206073318,16.483047310155424,20.0
66.30000000000051,309.33959880179117,16.152396781073378,20.0
66.4000000000005,311.31207699625054,15.821746251991335,20.0
66.5000000000005,311.4248972037225,15.802833971289566,20.0
66.60000000000049,311.4248972037225,15.802833971289566,20.0
66.70000000000049,312.6852005587405,17.355778095632193,20.0
66.80000000000048,313.94550391375856,18.90872221997482,20.0
66.90000000000047,315.2058072687766,20.461666344317447,20.0
67.00000000000047,316.46611062379463,22.014610468660074,20.0
67.10000000000046,317.7264139788127,23.567554593002704,20.0
67.20000000000046,318.9867173338307,25.120498717345335,20.0
67.30000000000045,320.24702068884875,26.673442841687965,20.0
67.40000000000045,321.5073240438668,28.226386966030596,20.0
67.50000000000044,322.7676273988848,29.779331090373226,20.0
67.60000000000043,324.02793075390287,31.332275214715857,20.0
67.70000000000043,325.2882341089209,32.88521933905849,20.0
67.80000000000042,326.54853746393894,34.43816346340112,20.0
67.90000000000042,327.808840818957,35.99110758774375,20.0
68.00000000000041,329.069144173975,37.54405171208638,20.0
68.1000000000004,330.32944752899306,39.09699583642901,20.0
68.2000000000004,331.5897508840111,40.64993996077164,20.0
68.3000000000004,332.85005423902913,42.20288408511427,20.0
68.40000000000039,334.1103575940472,43.7558282094569,20.0
68.50000000000038,335.3706609490652,45.30877233379953,20.0
68.60000000000038,336.63096430408325,46.86171645814216,20.0
68.70000000000037,337.8912676591013,48.41466058248479,20.0
68.80000000000037,339.1515710141193,49.96760470682742,20.0
68.90000000000036,340.41187436913737,51.52054883117006,20.0
69.00000000000036,341.6721777241554,53.0734929555127,20.0
69.10000000000035,342.93248107917344,54.626437079855336,20.0
69.20000000000034,344.1927844341915,56.17938120419797,20.0
69.30000000000034,345.4530877892095,57.73232532854061,20.0
69.40000000000033,346.71339114422756,59.285269452883256,20.0
69.50000000000033,347.9736944992456,60.8382135772259,20.0
69.60000000000032,349.2339978542636,62.39115770156855,20.0
69.70000000000032,350.4943012092816,63.9441018259112,20.0
69.80000000000031,350.803915576412,64.32560823889727,20.0
69.9000000000003,350.803915576412,64.32560823889727,20.0
70.0000000000003,352.79270678628103,64.11416197256057,20.0
70.10000000000029,354.78149799615005,63.90271570622385,20.0
70.20000000000029,356.7702892060191,63.69126943988714,20.0
70.30000000000028,358.7590804158881,63.47982317355042,20.0
70.40000000000028,360.7478716257571,63.26837690721371,20.0
70.50000000000027,361.81009085504326,63.155442835025,20.0
70.60000000000026,361.81009085504326,63.155442835025,20.0
70.70000000000026,363.4362511469928,61.99113930720818,20.0
