time,x,y,z
419.2000000000268,170.7089858252893,489.8856969620804,20.0
419.30000000002684,168.7092636557576,489.91903229893876,20.0
419.40000000002686,166.70954148622593,489.95236763579715,20.0
419.5000000000269,164.70981931669425,489.98570297265553,20.0
419.6000000000269,162.71009714716257,490.0190383095139,20.0
419.70000000002693,160.7103749776309,490.0523736463723,20.0
419.80000000002696,158.7106528080992,490.0857089832307,20.0
419.900000000027,156.71093063856753,490.1190443200891,20.0
420.000000000027,154.71120846903585,490.15237965694746,20.0
420.100000000027,152.71148629950417,490.18571499380585,20.0
420.20000000002705,150.7117641299725,490.21905033066423,20.0
420.30000000002707,148.7120419604408,490.25238566752256,20.0
420.4000000000271,146.71231979090913,490.28572100438095,20.0
420.5000000000271,144.71259762137745,490.3190563412393,20.0
420.60000000002714,142.71287545184578,490.35239167809766,20.0
420.70000000002716,140.7131532823141,490.385727014956,20.0
420.8000000000272,138.71343111278242,490.4190623518144,20.0
420.9000000000272,136.71370894325074,490.4523976886727,20.0
421.0000000000272,134.71398677371906,490.4857330255311,20.0
421.10000000002725,132.71426460418738,490.5190683623894,20.0
421.2000000000273,130.7145424346557,490.5524036992478,20.0
421.3000000000273,128.71482026512402,490.58573903610613,20.0
421.4000000000273,127.24328927081852,490.6102694344485,20.0
421.50000000002734,127.17617275971256,488.61139590820005,20.0
421.60000000002736,127.10905624860659,486.6125223819516,20.0
421.7000000000274,127.04193973750064,484.6136488557031,20.0
421.8000000000274,126.97482322639468,482.61477532945463,20.0
421.90000000002743,126.90770671528873,480.61590180320616,20.0
422.00000000002746,126.84059020418276,478.6170282769577,20.0
422.1000000000275,126.77347369307681,476.6181547507092,20.0
422.2000000000275,126.70635718197084,474.61928122446074,20.0
422.3000000000275,126.6392406708649,472.62040769821226,20.0
422.40000000002755,126.57212415975893,470.6215341719638,20.0
422.50000000002757,126.50500764865298,468.6226606457153,20.0
422.6000000000276,126.43789113754701,466.62378711946684,20.0
422.7000000000276,126.37077462644105,464.62491359321837,20.0
422.80000000002764,126.3036581153351,462.6260400669699,20.0
422.90000000002766,126.2444646057459,460.86313050427265,20.0
423.0000000000277,124.2451325476142,460.9148153311263,20.0
423.1000000000277,122.2458004894825,460.96650015797997,20.0
423.2000000000277,120.2464684313508,461.01818498483357,20.0
423.30000000002775,118.2471363732191,461.0698698116872,20.0
423.4000000000278,116.24780431508741,461.12155463854083,20.0
423.5000000000278,114.24847225695571,461.1732394653945,20.0
423.6000000000278,112.24914019882401,461.2249242922481,20.0
423.70000000002784,110.24980814069231,461.27660911910175,20.0
423.80000000002786,108.25047608256061,461.32829394595535,20.0
423.9000000000279,106.25114402442891,461.379978772809,20.0
