time,energy
0,50000.0
1,49999.0
2,49998.0
3,49997.0
4,49996.0
5,49995.0
6,49994.0
7,49993.0
8,49992.0
9,49991.0
10,49990.0
11,49989.0
12,49988.0
13,49987.0
14,49986.0
15,49985.0
16,49984.0
17,49983.0
18,49982.0
19,49981.0
20,49980.0
21,49979.0
22,49978.0
23,49977.0
24,49976.0
25,49975.0
26,49974.0
27,49973.0
28,49972.0
29,49971.0
30,49970.0
31,49969.0
32,49968.0
33,49967.0
34,49966.0
35,49965.0
36,49964.0
37,49963.0
38,49962.0
39,49961.0
40,49960.0
41,49959.0
42,49958.0
43,49957.0
44,49956.0
45,49955.0
46,49954.0
47,49953.0
48,49952.0
49,49951.0
50,49950.0
51,49949.0
52,49948.0
53,49947.0
54,49946.0
55,49945.0
56,49944.0
57,49943.0
58,49942.0
59,49941.0
60,49940.0
61,49939.0
62,49938.0
63,49937.0
64,49936.0
65,49935.0
66,49934.0
67,49933.0
68,49932.0
69,49931.0
70,49930.0
71,49929.0
72,49928.0
73,49927.0
74,49926.0
75,49925.0
76,49924.0
77,49923.0
78,49922.0
79,49921.0
80,49920.0
81,49919.0
82,49918.0
83,49917.0
84,49916.0
85,49915.0
86,49914.0
87,49913.0
88,49912.0
89,49911.0
90,49910.0
91,49909.0
92,49908.0
93,49907.0
94,49906.0
95,49905.0
96,49904.0
97,49903.0
98,49902.0
99,49901.0
100,49900.0
101,49899.0
102,49898.0
103,49897.0
104,49896.0
105,49895.0
106,49894.0
107,49893.0
108,49892.0
109,49891.0
110,49890.0
111,49889.0
112,49888.0
113,49887.0
114,49886.0
115,49885.0
116,49884.0
117,49883.0
118,49882.0
119,49881.0
120,49880.0
121,49879.0
122,49878.0
123,49877.0
124,49876.0
125,49875.0
126,49874.0
127,49873.0
128,49872.0
129,49871.0
130,49870.0
131,49869.0
132,49868.0
133,49867.0
134,49866.0
135,49865.0
136,49864.0
137,49863.0
138,49862.0
139,49861.0
140,49860.0
141,49859.0
142,49858.0
143,49857.0
144,49856.0
145,49855.0
146,49854.0
147,49853.0
148,49852.0
149,49851.0
150,49850.0
151,49849.0
152,49848.0
153,49847.0
154,49846.0
155,49845.0
156,49844.0
157,49843.0
158,49842.0
159,49841.0
