Run ID,Algorithm (mathcalM),Scenario (mathcalS),Data Source,Instances,Instance Size,Repetition,Path Length (L),Packets Expected,Packets Received,Avg Latency (mathcalL),Avg Throughput (mathcalT),Energy Consumed,Mission Duration,Total Computation Time (ms)
29,CRL-HA,10 Instances of 100 (CRL-HA),data/tsp/tsp100_val_mg_seed2222_size10K.pkl,10,100,1,16678.694615241635,91123,91123,489.9700000000961,102.56978838359558,888,888.4000000001334,1532.8760147094727
30,CRL-U,10 Instances of 100 (CRL-U),data/tsp/tsp100_val_mg_seed2222_size10K.pkl,10,100,1,67657.54792573379,107665,107665,2264.549999998424,31.370920745939266,3431,3431.999999997974,1630.228042602539
31,CRL-AM,2 Instances of 150 (CRL-AM),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,2,150,1,3212.1844323059127,31680,31680,137.14999999999435,179.49008498584152,176,176.49999999999426,477.10394859313965
32,CRL-HA,2 Instances of 150 (CRL-HA),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,2,150,1,3423.048766295069,33451,33451,146.34999999999383,178.2152370804536,187,187.69999999999362,404.1764736175537
33,CRL-U,2 Instances of 150 (CRL-U),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,2,150,1,3072.077813540147,22490,22490,131.64999999999466,132.21634332745862,170,170.09999999999462,404.91533279418945
34,CRL-AM,4 Instances of 150 (CRL-AM),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,4,150,1,22151.252886882266,176997,176997,815.5500000000258,155.6701846965615,1137,1137.0000000000614,828.3193111419678
35,CRL-HA,4 Instances of 150 (CRL-HA),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,4,150,1,6446.668637191427,56011,56011,226.85000000001577,158.5815402038452,353,353.2000000000118,867.6726818084717
36,CRL-U,4 Instances of 150 (CRL-U),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,4,150,1,28121.66604802022,125956,125956,1049.1749999998165,87.67645830434255,1436,1436.599999999789,822.9775428771973
37,CRL-AM,6 Instances of 150 (CRL-AM),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,6,150,1,25601.466396230982,198021,198021,720.9666666665227,149.57398595061278,1323,1323.8999999998914,1275.334119796753
38,CRL-HA,6 Instances of 150 (CRL-HA),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,6,150,1,9952.725584266658,88027,88027,328.2000000000507,162.50138453016638,541,541.7000000000546,1317.0981407165527
39,CRL-U,6 Instances of 150 (CRL-U),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,6,150,1,30867.72071648207,152125,152125,844.9499999997453,95.83884583886686,1587,1587.2999999996518,1248.8651275634766
40,CRL-AM,8 Instances of 150 (CRL-AM),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,8,150,1,29313.78217245573,225978,225978,733.9624999997162,148.12401678031154,1525,1525.599999999708,1462.548017501831
41,CRL-HA,8 Instances of 150 (CRL-HA),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,8,150,1,13648.918712760422,122459,122459,436.70000000008133,164.92794612792386,742,742.5000000001003,1490.506649017334
42,CRL-U,8 Instances of 150 (CRL-U),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,8,150,1,48508.92815865474,260890,260890,1436.5749999990787,105.00281735495543,2484,2484.5999999988358,1513.8306617736816
43,CRL-AM,10 Instances of 150 (CRL-AM),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,10,150,1,63019.83626428428,251771,251771,2155.5899999983467,78.15334471523929,3221,3221.4999999981655,2144.8211669921875
44,CRL-HA,10 Instances of 150 (CRL-HA),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,10,150,1,17631.054540007815,149701,149701,556.9200000001123,156.47642939267973,956,956.700000000149,2213.4850025177
45,CRL-U,10 Instances of 150 (CRL-U),data/tsp/tsp150_val_mg_seed2222_size10K.pkl,10,150,1,51736.21192158044,278397,278397,1321.3899999991065,104.57796476471155,2662,2662.0999999986743,1893.9309120178223
46,CRL-AM,2 Instances of 200 (CRL-AM),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,2,200,1,4163.725234245398,46764,46764,177.0999999999921,199.84615384616154,233,233.999999999991,477.2157669067383
47,CRL-HA,2 Instances of 200 (CRL-HA),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,2,200,1,3676.4959063087226,36591,36591,167.9999999999926,175.24425287356956,208,208.79999999999242,577.5930881500244
48,CRL-FD,2 Instances of 200 (CRL-FD),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,2,200,1,4509.889424149622,46966,46966,199.19999999999084,188.77009646302997,248,248.79999999999015,560.3344440460205
49,CRL-U,2 Instances of 200 (CRL-U),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,2,200,1,3723.0638852701113,45112,45112,168.64999999999256,213.80094786730638,210,210.9999999999923,493.3357238769531
50,CRL-AM,4 Instances of 200 (CRL-AM),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,4,200,1,94035.86675908796,83903,83903,3496.5999999998894,17.687994097186646,4743,4743.499999999725,992.2206401824951
51,CRL-HA,4 Instances of 200 (CRL-HA),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,4,200,1,6736.571305044666,74218,74218,242.87500000002137,194.18628990056627,382,382.2000000000184,1028.52463722229
52,CRL-FD,4 Instances of 200 (CRL-FD),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,4,200,1,7711.115625931159,83462,83462,264.9250000000303,195.7363977485798,426,426.40000000002846,931.4792156219482
53,CRL-U,4 Instances of 200 (CRL-U),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,4,200,1,6474.878595469253,80051,80051,231.6750000000192,217.29370249727654,368,368.40000000001527,1010.3716850280762
54,CRL-AM,6 Instances of 200 (CRL-AM),data/tsp/tsp200_val_mg_seed2222_size10K.pkl,6,200,1,183780.11274115663,257907,257907,6335.5333333478275,27.899331472658623,9244,9244.200000016099,1611.4213466644287
