time,energy
0,50000.0
1,49999.0
2,49998.0
3,49997.0
4,49996.0
5,49995.0
6,49994.0
7,49993.0
8,49992.0
9,49991.0
10,49990.0
11,49989.0
12,49988.0
13,49987.0
14,49986.0
15,49985.0
16,49984.0
17,49983.0
18,49982.0
19,49981.0
20,49980.0
21,49979.0
22,49978.0
23,49977.0
24,49976.0
25,49975.0
26,49974.0
27,49973.0
28,49972.0
29,49971.0
30,49970.0
31,49969.0
32,49968.0
33,49967.0
34,49966.0
35,49965.0
36,49964.0
37,49963.0
38,49962.0
39,49961.0
40,49960.0
41,49959.0
42,49958.0
43,49957.0
44,49956.0
45,49955.0
46,49954.0
47,49953.0
48,49952.0
49,49951.0
50,49950.0
51,49949.0
52,49948.0
53,49947.0
54,49946.0
55,49945.0
56,49944.0
57,49943.0
58,49942.0
59,49941.0
60,49940.0
61,49939.0
62,49938.0
63,49937.0
64,49936.0
65,49935.0
66,49934.0
67,49933.0
68,49932.0
69,49931.0
70,49930.0
71,49929.0
72,49928.0
73,49927.0
74,49926.0
75,49925.0
76,49924.0
77,49923.0
78,49922.0
79,49921.0
80,49920.0
81,49919.0
82,49918.0
83,49917.0
84,49916.0
85,49915.0
86,49914.0
87,49913.0
88,49912.0
89,49911.0
90,49910.0
91,49909.0
92,49908.0
93,49907.0
94,49906.0
95,49905.0
96,49904.0
97,49903.0
98,49902.0
99,49901.0
100,49900.0
101,49899.0
102,49898.0
103,49897.0
104,49896.0
105,49895.0
106,49894.0
107,49893.0
108,49892.0
109,49891.0
110,49890.0
111,49889.0
112,49888.0
113,49887.0
114,49886.0
115,49885.0
116,49884.0
117,49883.0
118,49882.0
119,49881.0
120,49880.0
121,49879.0
122,49878.0
123,49877.0
124,49876.0
125,49875.0
126,49874.0
127,49873.0
128,49872.0
129,49871.0
130,49870.0
131,49869.0
132,49868.0
133,49867.0
134,49866.0
135,49865.0
136,49864.0
137,49863.0
138,49862.0
139,49861.0
140,49860.0
141,49859.0
142,49858.0
143,49857.0
144,49856.0
145,49855.0
146,49854.0
147,49853.0
148,49852.0
149,49851.0
150,49850.0
151,49849.0
152,49848.0
153,49847.0
154,49846.0
155,49845.0
156,49844.0
157,49843.0
158,49842.0
159,49841.0
160,49840.0
161,49839.0
162,49838.0
163,49837.0
164,49836.0
165,49835.0
166,49834.0
167,49833.0
168,49832.0
169,49831.0
170,49830.0
171,49829.0
172,49828.0
173,49827.0
174,49826.0
175,49825.0
176,49824.0
177,49823.0
178,49822.0
179,49821.0
180,49820.0
181,49819.0
182,49818.0
183,49817.0
184,49816.0
185,49815.0
186,49814.0
187,49813.0
188,49812.0
189,49811.0
190,49810.0
191,49809.0
192,49808.0
193,49807.0
194,49806.0
195,49805.0
196,49804.0
197,49803.0
198,49802.0
199,49801.0
200,49800.0
201,49799.0
202,49798.0
203,49797.0
204,49796.0
205,49795.0
206,49794.0
207,49793.0
208,49792.0
209,49791.0
210,49790.0
211,49789.0
212,49788.0
213,49787.0
214,49786.0
215,49785.0
216,49784.0
217,49783.0
218,49782.0
219,49781.0
220,49780.0
221,49779.0
222,49778.0
223,49777.0
224,49776.0
225,49775.0
226,49774.0
227,49773.0
228,49772.0
229,49771.0
230,49770.0
231,49769.0
232,49768.0
233,49767.0
234,49766.0
235,49765.0
236,49764.0
237,49763.0
238,49762.0
239,49761.0
240,49760.0
241,49759.0
242,49758.0
243,49757.0
244,49756.0
245,49755.0
246,49754.0
247,49753.0
248,49752.0
249,49751.0
250,49750.0
251,49749.0
252,49748.0
253,49747.0
254,49746.0
255,49745.0
256,49744.0
257,49743.0
258,49742.0
259,49741.0
260,49740.0
261,49739.0
262,49738.0
263,49737.0
264,49736.0
265,49735.0
266,49734.0
267,49733.0
268,49732.0
269,49731.0
270,49730.0
271,49729.0
272,49728.0
273,49727.0
274,49726.0
275,49725.0
276,49724.0
277,49723.0
278,49722.0
279,49721.0
280,49720.0
281,49719.0
282,49718.0
283,49717.0
284,49716.0
285,49715.0
286,49714.0
287,49713.0
288,49712.0
289,49711.0
290,49710.0
291,49709.0
292,49708.0
293,49707.0
294,49706.0
295,49705.0
296,49704.0
297,49703.0
298,49702.0
299,49701.0
300,49700.0
301,49699.0
302,49698.0
303,49697.0
304,49696.0
305,49695.0
306,49694.0
307,49693.0
308,49692.0
309,49691.0
310,49690.0
311,49689.0
312,49688.0
313,49687.0
314,49686.0
315,49685.0
316,49684.0
317,49683.0
318,49682.0
319,49681.0
320,49680.0
321,49679.0
322,49678.0
323,49677.0
324,49676.0
325,49675.0
326,49674.0
327,49673.0
328,49672.0
329,49671.0
330,49670.0
