x,y,z
250.0,250.0,20.0
250.0,250.0,0.25
250.0,250.0,0.5
250.0,250.0,0.75
250.0,250.0,1.0
250.0,250.0,1.25
250.0,250.0,1.5
250.0,250.0,1.75
250.0,250.0,2.0
250.0,250.0,2.25
250.0,250.0,2.5
250.0,250.0,2.75
250.0,250.0,3.0
250.0,250.0,3.25
250.0,250.0,3.5
250.0,250.0,3.75
250.0,250.0,4.0
250.0,250.0,4.25
250.0,250.0,4.5
250.0,250.0,4.75
250.0,250.0,5.0
250.0,250.0,5.25
250.0,250.0,5.5
250.0,250.0,5.75
250.0,250.0,6.0
250.0,250.0,6.25
250.0,250.0,6.5
250.0,250.0,6.75
250.0,250.0,7.0
250.0,250.0,7.25
250.0,250.0,7.5
250.0,250.0,7.75
250.0,250.0,8.0
250.0,250.0,8.25
250.0,250.0,8.5
250.0,250.0,8.75
250.0,250.0,9.0
250.0,250.0,9.25
250.0,250.0,9.5
250.0,250.0,9.75
250.0,250.0,10.0
250.0,250.0,10.25
250.0,250.0,10.5
250.0,250.0,10.75
250.0,250.0,11.0
250.0,250.0,11.25
250.0,250.0,11.5
250.0,250.0,11.75
250.0,250.0,12.0
250.0,250.0,12.25
250.0,250.0,12.5
250.0,250.0,12.75
250.0,250.0,13.0
250.0,250.0,13.25
250.0,250.0,13.5
250.0,250.0,13.75
250.0,250.0,14.0
250.0,250.0,14.25
250.0,250.0,14.5
250.0,250.0,14.75
250.0,250.0,15.0
250.0,250.0,15.25
250.0,250.0,15.5
250.0,250.0,15.75
250.0,250.0,16.0
250.0,250.0,16.25
250.0,250.0,16.5
250.0,250.0,16.75
250.0,250.0,17.0
250.0,250.0,17.25
250.0,250.0,17.5
250.0,250.0,17.75
250.0,250.0,18.0
250.0,250.0,18.25
250.0,250.0,18.5
250.0,250.0,18.75
250.0,250.0,19.0
250.0,250.0,19.25
250.0,250.0,19.5
249.89624515388496,250.22745215744635,19.500669313559015
249.79249030776992,250.4549043148927,19.50133862711803
249.6887354616549,250.68235647233905,19.502007940677046
249.58498061553985,250.9098086297854,19.502677254236062
249.4812257694248,251.13726078723175,19.503346567795077
249.37747092330977,251.3647129446781,19.504015881354093
249.27371607719473,251.59216510212445,19.504685194913108
249.1699612310797,251.8196172595708,19.505354508472124
249.06620638496466,252.04706941701716,19.50602382203114
248.96245153884962,252.2745215744635,19.506693135590154
248.85869669273458,252.50197373190986,19.50736244914917
248.75494184661954,252.7294258893562,19.508031762708185
248.6511870005045,252.95687804680256,19.5087010762672
248.54743215438947,253.1843302042489,19.509370389826216
248.44367730827443,253.41178236169526,19.51003970338523
248.3399224621594,253.6392345191416,19.510709016944247
248.23616761604436,253.86668667658796,19.511378330503263
248.13241276992932,254.0941388340343,19.512047644062278
248.02865792381428,254.32159099148066,19.512716957621294
247.92490307769924,254.549043148927,19.51338627118031
247.8211482315842,254.77649530637336,19.514055584739324
247.71739338546917,255.0039474638197,19.51472489829834
247.61363853935413,255.23139962126606,19.515394211857355
247.5098836932391,255.45885177871241,19.51606352541637
247.40612884712405,255.68630393615877,19.516732838975386
247.302374001009,255.91375609360512,19.5174021525344
247.19861915489398,256.14120825105147,19.518071466093417
247.09486430877894,256.3686604084978,19.518740779652433
