Run ID,Algorithm,Scenario,Num Devices,Instance ID,Repetition,Path Length (L),Packets Expected,Packets Received,Avg Latency (s),Avg Throughput (pkt/s),Energy Consumed (J),Mission Duration (s)
101,CRL-HA,agriculture,99,1,1,6881.454883344122,45837,14090,269.76996451373554,30.439197217499625,275,462.889999999724
102,CRL-HA,agriculture,99,10,1,6764.881958577672,45144,14236,262.0871312165341,31.226146084686157,270,455.89999999973037
103,CRL-HA,agriculture,99,2,1,6546.7481477049105,43676,13802,254.68220402830985,31.16912445520208,262,442.8099999997423
104,CRL-HA,agriculture,99,3,1,6681.920723388975,44649,13998,261.5178054006747,31.04320056774645,267,450.9199999997349
105,CRL-HA,agriculture,99,4,1,6724.980685134267,44946,14089,261.493808644944,31.06725468579561,269,453.49999999973255
106,CRL-HA,agriculture,99,5,1,6756.929194087269,45144,14128,262.737154586537,31.021913837794454,270,455.4199999997308
107,CRL-HA,agriculture,99,6,1,6686.290152866486,44563,14069,260.07550714326794,31.18267653709888,267,451.17999999973466
108,CRL-HA,agriculture,99,7,1,6547.290810123205,43857,13822,255.49258139189195,31.212175955216434,262,442.83999999974225
109,CRL-HA,agriculture,99,8,1,6646.341466359314,44451,14012,257.8827176704726,31.22172953944655,266,448.78999999973684
110,CRL-HA,agriculture,99,9,1,6655.868058189177,44550,13982,259.6302875124203,31.115364073367022,266,449.3599999997363
111,CRL-HA,custom_hybrid,99,1,1,3716.4879305474474,26779,6959,141.10102888347123,25.49177625555014,149,272.9899999998967
112,CRL-HA,custom_hybrid,99,10,1,3312.392149557328,22545,7584,121.63613924053219,30.488442211065237,132,248.74999999991874
113,CRL-HA,custom_hybrid,99,2,1,3657.330231654935,26730,7028,140.65647125783912,26.083729216161704,146,269.43999999989995
114,CRL-HA,custom_hybrid,99,3,1,4402.678720377473,31046,8538,168.47311079876812,27.176369481503087,176,314.1699999998593
115,CRL-HA,custom_hybrid,99,4,1,3227.8919387459378,22776,7533,121.35294968806771,30.913493105722132,129,243.67999999992335
