x,y,z
250.0,250.0,20.0
250.0,250.0,0.25
250.0,250.0,0.5
250.0,250.0,0.75
250.0,250.0,1.0
250.0,250.0,1.25
250.0,250.0,1.5
250.0,250.0,1.75
250.0,250.0,2.0
250.0,250.0,2.25
250.0,250.0,2.5
250.0,250.0,2.75
250.0,250.0,3.0
250.0,250.0,3.25
250.0,250.0,3.5
250.0,250.0,3.75
250.0,250.0,4.0
250.0,250.0,4.25
250.0,250.0,4.5
250.0,250.0,4.75
250.0,250.0,5.0
250.0,250.0,5.25
250.0,250.0,5.5
250.0,250.0,5.75
250.0,250.0,6.0
250.0,250.0,6.25
250.0,250.0,6.5
250.0,250.0,6.75
250.0,250.0,7.0
250.0,250.0,7.25
250.0,250.0,7.5
250.0,250.0,7.75
250.0,250.0,8.0
250.0,250.0,8.25
250.0,250.0,8.5
250.0,250.0,8.75
250.0,250.0,9.0
250.0,250.0,9.25
250.0,250.0,9.5
250.0,250.0,9.75
250.0,250.0,10.0
250.0,250.0,10.25
250.0,250.0,10.5
250.0,250.0,10.75
250.0,250.0,11.0
250.0,250.0,11.25
250.0,250.0,11.5
250.0,250.0,11.75
250.0,250.0,12.0
250.0,250.0,12.25
250.0,250.0,12.5
250.0,250.0,12.75
250.0,250.0,13.0
250.0,250.0,13.25
250.0,250.0,13.5
250.0,250.0,13.75
250.0,250.0,14.0
250.0,250.0,14.25
250.0,250.0,14.5
250.0,250.0,14.75
250.0,250.0,15.0
250.0,250.0,15.25
250.0,250.0,15.5
250.0,250.0,15.75
250.0,250.0,16.0
250.0,250.0,16.25
250.0,250.0,16.5
250.0,250.0,16.75
250.0,250.0,17.0
250.0,250.0,17.25
250.0,250.0,17.5
250.0,250.0,17.75
250.0,250.0,18.0
250.0,250.0,18.25
250.0,250.0,18.5
250.0,250.0,18.75
250.0,250.0,19.0
250.0,250.0,19.25
250.0,250.0,19.5
249.79199059970642,250.13867901885342,19.50046810187483
249.58398119941285,250.27735803770685,19.50093620374966
249.37597179911927,250.41603705656027,19.50140430562449
249.1679623988257,250.5547160754137,19.50187240749932
248.95995299853212,250.69339509426712,19.50234050937415
248.75194359823854,250.83207411312054,19.50280861124898
248.54393419794496,250.97075313197396,19.50327671312381
248.3359247976514,251.1094321508274,19.50374481499864
248.1279153973578,251.2481111696808,19.50421291687347
247.91990599706423,251.38679018853423,19.5046810187483
247.71189659677066,251.52546920738766,19.50514912062313
247.50388719647708,251.66414822624108,19.50561722249796
247.2958777961835,251.8028272450945,19.50608532437279
247.08786839588993,251.94150626394793,19.50655342624762
246.87985899559635,252.08018528280135,19.50702152812245
246.67184959530277,252.21886430165478,19.50748962999728
246.4638401950092,252.3575433205082,19.50795773187211
246.25583079471562,252.49622233936162,19.50842583374694
246.04782139442204,252.63490135821505,19.50889393562177
245.83981199412847,252.77358037706847,19.5093620374966
245.6318025938349,252.9122593959219,19.50983013937143
245.42379319354131,253.05093841477532,19.51029824124626
245.21578379324774,253.18961743362874,19.51076634312109
245.00777439295416,253.32829645248216,19.51123444499592
244.79976499266058,253.4669754713356,19.51170254687075
244.591755592367,253.605654490189,19.51217064874558
244.38374619207343,253.74433350904243,19.51263875062041
244.17573679177985,253.88301252789586,19.51310685249524
